player_id,player_name,Latest_Year,off_poss,def_poss,possessions,box_oVPM_TS,box_oVPM_TOV,box_oVPM_SC,box_dVPM_TS,box_dVPM_TOV,box_dVPM_SC,box_off,box_def,box_net,source_box_off_gap,source_box_def_gap,source_box_net_gap
1628969,Mikal Bridges,2026,28993,29006,57999,1.42212661571096,0.7118920191628018,-0.3249696838243365,0.8265803276172676,0.1876254735777392,-0.1996292309167145,1.8090489510494252,0.8145765702782923,2.6236255213277175,0.0,-1.1102230246251565e-16,0.0
203500,Steven Adams,2026,9505,9409,18914,-2.636262977348748,-0.9710189914218,4.128193100029224,1.091845661373107,-0.2293555960771811,1.2380155456417368,0.5209111312586754,2.1005056109376623,2.6214167421963377,0.0,0.0,0.0
1628371,Jonathan Isaac,2026,5204,5251,10455,-2.1271804201244926,-0.1698873154882078,2.2133125051348164,1.7217242501402759,0.8799159144823945,0.093217175274092,-0.08375523047788391,2.694857339896762,2.611102109418878,-1.3877787807814457e-17,-4.440892098500626e-16,-4.440892098500626e-16
1641744,Zach Edey,2026,3560,3567,7127,-1.4261958894428237,-1.207735539958241,3.5524588633963696,1.4234973198101555,-0.8603286259098459,1.1147916970039675,0.9185274339953051,1.677960390904277,2.596487824899582,-1.1102230246251565e-16,-2.220446049250313e-16,0.0
1628374,Lauri Markkanen,2026,18069,18047,36116,2.022660552350468,0.1949825657323725,0.4918149074872694,0.08431878647716591,-0.6663912295261701,0.4282471074895104,2.70945802557011,-0.1538253355594938,2.5556326900106163,0.0,0.0,0.0
1631117,Walker Kessler,2026,10231,10274,20505,-1.287750275628874,-1.029133433347625,2.6757027538301306,3.2667207072891773,-1.4322790073145988,0.3505228282637519,0.3588190448536319,2.1849645282383303,2.5437835730919622,0.0,0.0,0.0
1628386,Jarrett Allen,2026,20836,20872,41708,0.7536994011974408,-0.5776547970610071,0.3824238290335833,1.333001408528524,-0.3929916152679403,0.9897842610558284,0.558468433170017,1.929794054316412,2.488262487486429,0.0,0.0,0.0
1626157,Karl-Anthony Towns,2026,21074,20920,41994,1.9353436086094846,-0.5827450838792847,0.62265246932186,0.18126670318471472,-0.5088169433322863,0.7978806254807366,1.97525099405206,0.47033038533316496,2.445581379385225,0.0,5.551115123125783e-17,0.0
1642066,Myron Gardner,2026,891,895,1786,-0.32829227332611166,0.108614940779559,1.6707293971542356,0.1782880469058603,0.1887108603388891,0.6260173314222461,1.451052064607683,0.9930162386669955,2.4440683032746784,0.0,-1.1102230246251565e-16,-4.440892098500626e-16
1629057,Robert Williams III,2026,8282,8258,16540,-0.7316593069601058,-0.9437865114775666,1.788664881699141,2.1093532319361517,-0.2680401826856385,0.4170430430444249,0.11321906326146847,2.258356092294938,2.3715751555564064,6.938893903907228e-17,0.0,0.0
