player_id,player_name,Latest_Year,oTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1630171,Isaac Okoro,2026,1.22,0.01,0.34,-0.32,-0.97,-1.54,-1.19,-0.57,-0.61,-0.01,0.37,-3.05,-2.68,-0.2,-0.25,0.62,-0.54,-2.51,-0.96,-1.2,6188,3091,3097
1630579,Jericho Sims,2026,-0.08,-1.14,-0.27,-0.87,0.34,-1.75,-0.37,-0.05,-0.31,0.41,-0.93,-1.83,-2.76,-0.17,0.05,-0.98,0.09,-1.92,-0.8,0.04,3512,1746,1766
1628971,Bruce Brown,2026,-1.42,-0.1,-0.12,0.02,-0.46,-0.18,-0.77,-0.25,-0.53,0.28,-1.96,-0.93,-2.89,-0.24,-0.41,-1.55,0.54,-1.47,-0.56,-0.49,6592,3291,3301
1630192,Zeke Nnaji,2026,-1.36,-0.58,0.05,-0.63,-0.16,0.33,-0.24,-0.1,-0.14,-0.44,-2.17,-0.74,-2.91,-0.46,-0.03,-2.14,-0.98,0.24,-0.74,-0.68,2268,1121,1147
1641716,Jarace Walker,2026,-0.41,-0.66,-0.11,-0.55,-0.9,-0.48,-0.28,-0.03,-0.26,-0.46,-2.04,-1.02,-3.06,0.13,-0.87,-1.17,-0.14,-0.88,-1.56,-0.74,6675,3335,3340
1626145,Tyus Jones,2026,-2.66,0.63,0.25,0.37,-0.29,-0.9,-0.14,-0.15,0.01,0.06,-2.38,-0.7,-3.08,0.22,-0.67,-1.71,-0.21,-0.49,0.34,-0.08,3623,1811,1812
1642875,Maxime Raynaud,2026,-1.43,0.55,0.29,0.26,-0.37,-0.82,-1.06,-0.23,-0.82,0.2,-1.76,-1.41,-3.17,-0.24,-0.6,-1.16,0.41,-1.82,0.18,-0.86,5748,2872,2876
1627741,Buddy Hield,2026,-0.6,-0.37,-0.22,-0.15,-0.34,-1.31,0.73,0.3,0.44,-1.26,-1.31,-1.92,-3.24,-0.09,-0.77,-0.54,-1.74,-0.18,-0.71,-0.53,3273,1638,1635
1642847,Jeremiah Fears,2026,-1.44,-0.5,-0.46,-0.04,0.98,-1.57,-0.12,0.15,-0.27,-0.42,-1.21,-2.03,-3.24,-0.17,0.67,-1.88,-0.1,-1.93,0.48,-0.54,7492,3758,3734
1631110,Jeremy Sochan,2026,-1.72,-1.14,-0.5,-0.65,0.18,-1.45,0.81,0.31,0.5,-0.05,-2.3,-1.0,-3.31,0.06,-0.41,-1.89,-0.13,-0.87,-0.96,0.76,1909,950,959
1642348,Justin Edwards,2026,0.01,-0.31,0.22,-0.53,-0.43,-2.51,-0.12,-0.5,0.39,-0.13,-0.88,-2.58,-3.46,0.03,-0.9,0.02,0.35,-2.93,-0.74,-0.25,2833,1417,1416
201942,DeMar DeRozan,2026,0.18,0.35,0.39,-0.04,-0.76,-2.04,-0.4,0.1,-0.5,-0.52,-0.7,-2.83,-3.53,-0.34,-0.61,-0.09,0.25,-3.08,-0.41,-0.92,8351,4177,4174
1642846,Ace Bailey,2026,-2.24,0.15,0.11,0.04,0.05,-1.24,-0.15,0.06,-0.21,-0.21,-2.1,-1.54,-3.64,0.0,-0.12,-1.98,-0.39,-1.15,0.2,-0.36,6464,3245,3219
1629651,Nicolas Claxton,2026,-0.83,-0.06,-0.36,0.3,-0.5,-1.1,-1.12,-0.48,-0.63,-0.55,-1.23,-2.43,-3.66,0.5,-0.68,-0.55,-0.39,-2.04,-0.56,-1.67,6973,3489,3484
1642860,Will Riley,2026,-1.33,-0.56,-0.36,-0.2,-0.13,-0.96,-0.21,-0.04,-0.17,-0.55,-2.05,-1.61,-3.66,0.08,0.19,-2.24,-0.08,-1.53,-0.69,-0.76,4073,2035,2038
1642962,Drake Powell,2026,-0.78,-0.7,0.12,-0.82,-0.83,-0.13,-0.53,-0.23,-0.3,-0.1,-2.77,-1.02,-3.79,-0.72,-1.85,-0.92,-0.52,-0.5,-1.53,-0.63,3601,1804,1797
1630545,Terrence Shannon Jr.,2026,-1.64,-0.15,0.32,-0.47,0.31,-1.43,-0.26,-0.18,-0.08,-0.38,-1.28,-2.54,-3.82,-0.27,0.24,-1.52,0.15,-2.69,0.16,-0.64,1407,703,704
1626220,Royce O'Neale,2026,-0.93,-0.66,-0.2,-0.46,-0.45,-0.63,-0.35,-0.15,-0.19,-0.97,-2.01,-2.06,-4.07,-0.08,-0.98,-1.03,-1.07,-0.99,-1.11,-1.32,7629,3819,3810
1641738,Kobe Brown,2026,-0.64,-1.06,-0.88,-0.19,0.29,-1.71,-0.54,0.1,-0.64,-0.16,-1.53,-2.62,-4.15,-0.33,-0.08,-1.45,0.27,-2.89,-0.77,-0.7,2251,1128,1123
1630172,Patrick Williams,2026,-2.13,-0.48,0.17,-0.66,-0.17,-1.44,-0.01,0.09,-0.1,0.29,-2.93,-1.29,-4.22,-0.28,0.06,-2.99,0.03,-1.32,-0.65,0.28,4511,2244,2267
1629614,Andrew Nembhard,2026,-0.94,0.15,0.22,-0.09,-0.83,-1.98,-0.88,-0.67,-0.21,0.03,-1.97,-2.58,-4.55,-0.1,-0.71,-1.26,-0.05,-2.53,-0.68,-0.85,6531,3266,3265
1630544,Tre Mann,2026,-2.2,-0.65,-0.01,-0.63,0.6,-2.14,-0.13,-0.04,-0.09,0.14,-2.47,-2.18,-4.65,-0.27,0.15,-2.62,0.29,-2.47,-0.05,0.01,2459,1228,1231
1642268,Isaiah Collier,2026,-0.86,0.04,0.11,-0.07,-0.79,-2.25,0.31,0.3,0.01,-1.18,-1.55,-3.14,-4.68,0.05,-1.28,-0.27,-0.71,-2.43,-0.75,-0.87,5948,2976,2972
1642267,Carlton Carrington,2026,-1.24,-0.55,-0.86,0.31,-0.48,-1.23,-0.83,-0.1,-0.72,-0.81,-2.36,-2.57,-4.93,0.21,-0.44,-1.92,-0.52,-2.05,-1.03,-1.64,7200,3591,3609
1629018,Gary Trent Jr.,2026,-1.11,-0.4,-0.2,-0.21,-0.73,-2.22,-0.32,0.17,-0.48,-0.47,-1.97,-3.02,-4.99,0.26,-1.32,-0.65,-0.55,-2.47,-1.13,-0.79,4916,2460,2456
