player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
104,Benoit Benjamin,2000,-0.15,-0.06,-0.25,-0.01,0.04,0.02,0.21,-0.04,-0.1,-0.07,0.04,-0.12,-0.06,-0.01,-0.08,0.09,-0.01,-0.11,0.02,0.03,0.01,0.05,-0.02,-0.0,-0.02,0.02,-0.31,-0.03,-0.34,-0.05,-0.05,-0.26,-0.08,0.04,-0.13,0.0,28,14,14
1937,Tim Young,2000,-0.73,0.26,-0.4,-0.23,-0.35,-0.1,0.76,-0.16,-1.28,0.25,0.11,0.14,0.51,-0.59,0.05,0.14,-0.13,-0.28,-0.07,0.14,-0.18,-0.39,0.03,-0.02,0.05,0.22,-0.08,-0.28,-0.36,-0.05,0.36,-0.44,0.33,-0.61,0.76,0.25,517,264,253
1908,Jumaine Jones,2000,-0.84,0.08,-0.42,-0.13,-0.51,-0.02,0.93,-0.31,-1.04,-0.11,0.08,-0.18,-0.0,0.45,0.01,0.19,-0.05,-0.23,0.1,0.04,0.17,0.16,-0.05,-0.02,-0.03,-0.03,-0.77,0.39,-0.38,0.2,-0.06,-0.71,0.08,0.31,-0.11,-0.08,513,254,259
1562,Gerard King,2000,-0.93,0.04,-1.61,0.28,-0.35,0.14,1.96,-0.45,0.55,0.26,0.23,0.03,0.44,-0.48,0.16,-0.1,-0.5,-0.22,0.0,0.32,-0.04,0.47,0.51,-0.01,0.52,0.06,-0.62,0.23,-0.39,-0.25,-0.14,-0.48,0.55,-0.33,0.7,0.57,4017,2003,2014
681,Donny Marshall,2000,-0.51,-0.08,-0.33,0.04,0.1,-0.09,0.24,-0.14,-0.52,-0.12,0.04,-0.16,-0.08,0.06,-0.07,0.25,-0.02,-0.0,-0.02,-0.24,0.06,0.29,0.14,-0.0,0.14,0.09,-0.7,0.31,-0.4,0.02,-0.07,-0.64,-0.03,0.34,-0.2,0.23,146,71,75
1720,Michael Doleac,2000,-1.41,-0.62,-1.05,-0.35,-1.01,-0.35,2.07,0.22,-0.39,0.31,0.18,0.13,0.55,0.32,-0.05,0.77,0.14,-0.14,0.09,-0.63,-0.11,-0.85,-0.37,-0.03,-0.34,0.63,-1.02,0.61,-0.41,-0.44,1.16,-2.17,0.85,-0.25,0.86,0.26,5273,2644,2629
251,Sean Elliott,2000,-0.46,0.12,-0.89,0.02,-0.16,0.12,1.06,0.44,0.79,0.19,-0.39,0.58,-0.56,1.01,0.28,0.34,0.11,-0.35,0.15,0.01,-0.1,-0.17,-0.52,0.05,-0.57,0.2,-1.15,0.74,-0.41,-0.27,-0.63,-0.52,0.1,0.64,-0.37,-0.32,1863,941,922
1564,Etdrick Bohannon,2000,0.21,-0.21,-0.09,-0.01,0.52,0.02,-0.43,0.05,-0.67,-0.38,0.05,-0.42,-0.02,-0.24,-0.1,0.24,-0.16,-0.17,-0.01,-0.07,-0.04,0.17,0.17,0.0,0.17,-0.16,-0.15,-0.27,-0.42,0.0,-0.11,-0.04,0.21,-0.48,-0.4,0.01,443,220,223
1003,Drew Barry,2000,0.28,0.32,-0.13,0.1,0.53,-0.19,-0.4,0.02,-0.39,-0.04,-0.15,0.11,-0.29,-0.15,-0.08,-0.37,-0.04,0.0,0.07,0.37,-0.0,-0.02,-0.26,-0.2,-0.06,0.01,-0.03,-0.4,-0.43,0.02,-0.04,0.01,-0.07,-0.33,-0.33,-0.25,626,313,313
1890,Shawn Marion,2000,-0.48,-0.18,1.05,-0.44,-1.67,0.25,0.62,0.3,0.28,-0.56,-0.48,-0.08,0.01,-0.23,0.01,-0.42,0.32,0.53,-0.16,-0.1,-0.0,1.04,0.11,0.23,-0.12,0.51,-0.78,0.36,-0.43,0.21,-0.28,-0.51,0.33,0.02,-0.55,0.62,5947,2972,2975
1754,Andrae Patterson,2000,-0.26,-0.11,-0.14,0.11,-0.03,-0.06,0.16,-0.1,-0.43,-0.04,0.01,-0.04,-0.04,-0.21,-0.1,0.04,-0.1,-0.03,0.02,-0.01,-0.02,0.15,0.06,0.06,-0.0,0.03,-0.32,-0.11,-0.43,0.03,0.12,-0.44,-0.02,-0.09,-0.08,0.09,83,42,41
1000,Shandon Anderson,2000,1.4,-0.16,1.76,0.61,1.25,-0.18,-3.0,0.06,0.19,-0.48,-0.34,-0.15,0.11,-0.52,0.46,0.05,-0.13,0.55,-0.17,-0.6,-0.41,-1.5,-0.76,-0.51,-0.25,-0.01,0.81,-1.26,-0.45,-0.19,-0.03,0.84,-0.38,-0.88,-0.37,-0.77,10432,5193,5239
1746,DeMarco Johnson,2000,-0.5,-0.11,-0.1,-0.07,-0.17,0.07,0.27,-0.29,-0.1,-0.12,0.04,-0.17,0.16,0.06,-0.01,0.19,0.0,0.04,-0.03,-0.23,0.04,0.06,-0.07,-0.03,-0.04,0.0,-0.49,0.04,-0.46,0.01,0.04,-0.53,-0.06,0.1,0.04,-0.07,127,61,66
1733,Al Harrington,2000,0.07,0.21,0.0,0.3,-0.19,-0.08,0.19,-0.04,-2.06,-0.53,-0.27,-0.26,-0.36,-0.17,-0.14,0.85,-0.52,0.02,0.36,-0.88,-0.2,1.21,0.24,0.05,0.2,0.2,-0.82,0.34,-0.48,0.07,-0.24,-0.57,-0.19,0.53,-0.89,0.44,3316,1651,1665
258,Brian Grant,2000,-0.75,0.02,-0.1,-0.22,0.2,-0.09,-0.11,-0.12,0.4,-0.56,0.08,-0.64,1.49,-0.4,0.09,0.3,0.42,-0.05,0.17,-0.26,-0.53,-0.69,0.03,-0.55,0.58,-0.24,0.51,-1.0,-0.49,-0.06,1.67,-1.15,-0.54,-0.46,0.93,-0.21,5909,2959,2950
45,George McCloud,2000,0.94,0.5,-0.32,0.06,2.56,-0.16,-2.25,-0.14,0.77,0.42,0.12,0.3,-0.61,-1.29,-0.71,-0.6,-0.29,0.14,-0.11,0.46,0.07,0.42,-0.32,-0.22,-0.11,0.01,1.36,-1.85,-0.49,0.36,0.56,0.79,-0.45,-1.4,-0.19,-0.31,8154,4067,4087
55,Marty Conlon,2000,-0.32,-0.1,-0.23,-0.03,0.01,0.0,0.22,-0.09,-0.2,-0.01,-0.07,0.06,-0.04,-0.09,-0.08,-0.09,0.02,0.01,0.01,0.08,-0.02,0.0,-0.07,-0.03,-0.04,-0.03,-0.31,-0.19,-0.49,0.07,0.06,-0.37,-0.02,-0.17,-0.05,-0.1,29,15,14
1943,Wayne Turner,2000,-0.43,-0.12,-0.16,-0.17,-0.07,0.07,0.22,-0.09,-0.43,-0.19,-0.11,-0.08,-0.04,0.03,-0.06,0.13,-0.04,-0.15,0.03,0.03,0.0,0.14,0.07,0.17,-0.1,0.04,-0.65,0.15,-0.5,0.02,0.03,-0.68,0.02,0.13,-0.23,0.11,162,81,81
49,Gheorghe Muresan,2000,-0.25,-0.17,-0.74,0.16,-0.35,-0.09,1.1,0.07,-0.62,-0.37,-0.32,-0.05,-0.28,0.27,0.04,-0.08,0.19,0.16,0.11,-0.08,-0.17,0.01,0.02,0.19,-0.17,0.11,-0.89,0.39,-0.5,0.0,0.09,-0.98,0.29,0.1,-0.65,0.13,1059,531,528
1752,Sean Marks,2000,-0.25,-0.04,-0.15,-0.05,0.04,-0.11,0.11,0.08,-0.3,-0.1,-0.18,0.08,0.03,-0.3,-0.1,-0.03,-0.09,-0.04,0.0,0.07,-0.04,-0.0,0.12,0.1,0.02,-0.02,-0.36,-0.16,-0.52,-0.0,0.06,-0.42,0.02,-0.18,-0.07,0.1,63,32,31
1886,Jonathan Bender,2000,0.17,0.02,-0.08,-0.06,-0.05,0.1,0.13,-0.08,-0.64,-0.18,-0.2,0.02,-0.1,-0.03,-0.03,-0.11,-0.05,-0.16,0.0,0.28,0.08,-0.39,-0.35,-0.25,-0.1,0.05,-0.26,-0.27,-0.53,-0.09,0.22,-0.48,-0.01,-0.25,-0.28,-0.3,621,309,312
779,Glen Rice,2000,1.27,0.96,0.05,0.8,-0.39,-0.2,0.34,0.31,-1.27,-0.11,0.01,-0.12,-0.54,-0.04,-0.33,0.38,0.38,-0.21,0.29,-0.18,-0.07,1.38,-0.81,-0.53,-0.27,0.19,0.8,-1.33,-0.53,-0.49,-1.25,2.06,-0.34,-0.99,-0.65,-0.62,12476,6263,6213
1967,Derek Hood,2000,-0.26,-0.02,-0.22,0.05,0.01,-0.06,0.21,-0.09,-0.29,0.03,-0.02,0.04,-0.0,-0.26,-0.11,0.12,-0.03,-0.07,-0.03,-0.06,-0.05,-0.06,-0.05,-0.02,-0.03,0.02,-0.24,-0.29,-0.53,-0.01,0.32,-0.56,0.03,-0.32,0.03,-0.03,19,10,9
1353,ID_1353,2000,-0.23,-0.04,-0.22,-0.0,0.04,-0.04,0.18,-0.02,-0.25,-0.01,-0.0,-0.01,0.01,-0.21,-0.08,0.01,-0.05,-0.04,0.01,0.03,-0.06,-0.0,-0.01,-0.01,0.0,0.01,-0.29,-0.25,-0.55,-0.11,0.05,-0.34,-0.02,-0.23,0.0,0.0,8,1,7
695,Eldridge Recasner,2000,-0.37,-0.02,-0.14,-0.11,0.06,-0.1,0.08,0.06,0.01,-0.02,-0.09,0.07,-0.08,0.0,-0.04,-0.09,-0.0,-0.03,-0.02,0.13,0.06,-0.02,-0.02,0.06,-0.09,0.02,-0.46,-0.08,-0.55,-0.08,0.04,-0.51,0.07,-0.15,-0.1,0.0,100,51,49
1904,Devean George,2000,-1.09,-0.09,-0.21,-0.45,0.74,-0.06,-0.53,-0.36,-1.96,-0.28,-0.25,-0.02,0.41,0.18,-0.69,-0.33,0.14,0.05,0.09,0.28,0.4,0.65,-0.29,-0.0,-0.29,0.16,-0.46,-0.1,-0.55,0.36,0.54,-0.99,0.22,-0.31,0.13,-0.13,1510,750,760
