player_id,player_name,off,def,net_rapm,oRIM_FREQ,dRIM_FREQ,oRIM_FG,dRIM_FG,oMID_FG,dMID_FG,oTHREE_FREQ,dTHREE_FREQ,oTHREE_FG,dTHREE_FG,oFT,dFT,oTOV_VALUE,dTOV_VALUE,oSC,dSC,vanilla_off,vanilla_def,vanilla_net,delta_net,possessions
1642443,Jahmir Young,-1.071,1.546,-2.617,-0.096,0.123,0.11,-0.966,-0.461,0.148,-0.035,-0.026,-0.184,-0.056,-0.394,-0.388,-0.008,-0.355,-0.003,-0.026,-0.344,0.384,-0.728,-1.889,406
1630314,Brandon Williams,-0.517,2.113,-2.63,1.299,-0.46,-0.679,-0.723,0.28,-0.568,-0.343,0.09,-0.552,0.02,0.195,-0.519,0.524,0.146,-1.241,-0.099,-0.761,1.384,-2.145,-0.485,11464
1627745,Damian Jones,-2.711,-0.071,-2.64,-0.004,0.085,-0.417,-0.224,-0.483,0.214,-0.065,-0.018,-0.356,-0.107,-0.379,0.159,-0.745,-0.105,-0.262,0.067,-2.949,0.406,-3.355,0.715,9493
1642935,Chucky Hepburn,-1.971,0.672,-2.643,-0.19,-0.083,-0.917,-0.293,-0.29,-0.027,0.23,0.011,0.027,-0.035,-0.262,-0.038,-0.085,0.011,-0.484,-0.218,-0.734,0.362,-1.096,-1.547,54
1641736,Reece Beekman,-1.742,0.908,-2.65,0.326,-0.172,-0.825,-0.943,-0.356,0.057,0.021,0.012,-0.358,-0.025,-0.44,-0.61,0.122,0.421,-0.232,0.352,-1.913,0.089,-2.002,-0.648,1887
2546,Carmelo Anthony,-1.345,1.32,-2.665,-0.626,-0.045,-0.195,-0.498,-0.562,0.102,0.173,-0.054,0.105,-0.011,-0.105,-0.553,0.165,-0.249,-0.3,-0.012,-0.67,0.612,-1.282,-1.383,14814
1631127,Harrison Ingram,-1.791,0.879,-2.67,-0.075,-0.172,-0.044,-0.581,-0.359,0.058,-0.145,0.035,-0.105,-0.049,-0.688,-0.272,-0.795,-0.102,0.42,0.204,-0.129,0.194,-0.323,-2.347,264
1642859,Jase Richardson,-1.311,1.372,-2.683,0.192,0.038,-0.496,-0.626,-0.057,-0.084,-0.04,0.122,-0.148,-0.039,-0.059,-0.731,-0.079,0.136,-0.624,-0.188,-0.985,0.581,-1.566,-1.117,2443
1631207,Dalen Terry,-3.451,-0.765,-2.686,0.25,-0.193,-0.534,0.756,-1.146,-0.017,0.076,0.005,-1.052,-0.069,-0.845,-0.475,0.076,0.817,-0.276,-0.059,-3.272,-0.286,-2.986,0.3,10397
1631288,Jamal Cain,-0.71,1.987,-2.697,-0.54,-0.184,-0.383,-1.325,-0.824,-0.067,0.004,-0.006,0.008,0.11,0.053,-0.117,-0.503,-0.156,1.475,-0.242,-0.193,0.691,-0.884,-1.813,6586
