player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
785,Eric Murdock,2000,-2.25,-0.01,-0.47,-1.22,-0.44,-0.18,0.91,-0.91,-2.72,-0.14,0.79,-0.93,-0.73,0.68,-0.65,0.32,-0.24,-0.11,0.18,-0.21,0.55,1.05,1.21,0.63,0.58,0.19,-2.97,2.12,-0.85,0.19,-0.81,-2.17,0.32,1.8,-0.87,1.4,10032,4990,5042
176,Antonio Harvey,2000,-0.24,-0.15,-0.16,0.33,-0.4,-0.15,0.56,-0.21,-1.3,-0.37,-0.14,-0.24,-0.0,0.46,-0.2,0.15,-0.14,-0.05,0.06,-0.1,0.36,0.16,-0.07,-0.1,0.02,-0.19,-0.67,-0.19,-0.86,-0.45,-0.47,-0.2,-0.79,0.59,-0.37,-0.26,596,294,302
1937,Tim Young,2000,-0.97,0.28,-0.9,0.07,-0.71,-0.17,1.6,-0.44,-1.52,0.25,0.14,0.1,0.39,-0.65,0.0,0.36,-0.39,-0.14,-0.07,-0.21,-0.07,-0.49,-0.03,-0.05,0.01,0.19,-0.48,-0.37,-0.86,-0.04,0.25,-0.73,0.37,-0.74,0.64,0.16,517,264,253
104,Benoit Benjamin,2000,-0.53,-0.24,-0.79,0.36,-0.96,-0.23,1.74,-0.01,-1.42,-0.26,-0.28,0.02,-0.07,-0.34,-0.27,0.21,-0.17,0.15,-0.06,-0.36,0.01,0.04,0.57,-0.06,0.62,0.02,-1.22,0.35,-0.87,-0.26,-0.5,-0.73,0.34,0.02,-0.33,0.59,998,501,497
1432,Joe Courtney,2000,-0.6,0.15,-0.63,0.44,-0.76,-0.22,1.38,-0.54,-1.19,0.09,-0.02,0.11,0.19,-0.36,-0.17,0.07,-0.28,0.3,-0.03,-0.37,0.05,-0.09,-0.12,-0.1,-0.03,-0.04,-0.29,-0.58,-0.87,-0.03,0.53,-0.81,0.1,-0.68,0.28,-0.16,407,204,203
147,Jalen Rose,2000,1.16,0.84,-1.05,0.82,-0.75,0.0,1.8,0.3,-2.98,0.27,-0.14,0.41,-1.33,-0.4,0.08,0.71,-0.6,1.0,0.47,-1.7,-0.26,0.29,-0.31,0.18,-0.48,0.13,0.22,-1.09,-0.87,-0.39,-1.95,2.17,-0.16,-0.92,-1.06,-0.18,31998,15993,16005
1855,Mark Macon,2000,-0.73,-0.13,-0.65,0.21,-0.57,-0.1,1.22,-0.31,-0.82,-0.13,-0.15,0.02,-0.01,-0.17,-0.18,0.5,-0.18,-0.07,-0.06,-0.43,0.08,-0.01,0.03,0.02,0.0,0.12,-0.88,0.0,-0.88,0.01,-0.1,-0.78,0.2,-0.2,-0.14,0.15,243,120,123
160,Tim Breaux,2000,-0.41,0.23,-0.81,0.37,-0.45,-0.17,1.26,-0.36,-0.88,-0.09,0.16,-0.26,-0.09,-0.15,-0.18,0.26,-0.25,0.15,0.05,-0.42,0.02,0.14,-0.01,0.01,-0.02,0.05,-0.76,-0.12,-0.88,-0.18,-0.52,-0.24,0.13,-0.25,-0.18,0.04,198,97,101
1035,Shawnelle Scott,2000,-0.57,0.2,-0.5,0.36,-0.48,0.02,0.97,-0.84,-1.49,0.17,-0.15,0.32,-0.07,-0.31,-0.47,0.22,-0.34,-0.04,0.05,-0.18,0.27,-0.13,-0.13,-0.13,-0.02,-0.04,-0.32,-0.57,-0.89,0.06,0.27,-0.59,0.36,-0.93,0.1,-0.17,901,451,450
344,Dana Barros,2000,0.13,-0.16,-1.0,-1.35,4.27,-0.12,-3.26,1.08,1.17,-0.14,0.22,-0.37,0.28,-0.85,-0.73,-2.02,0.29,0.02,0.21,2.01,0.09,0.21,-0.05,0.49,-0.55,-0.29,0.42,-1.32,-0.9,0.02,0.14,0.28,0.04,-1.36,0.14,-0.34,17893,8999,8894
