player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1628988,Aaron Holiday,2026,-0.310,-0.280,0.480,-0.480,-0.170,0.230,-0.960,-1.000,-1.290,-0.600,-0.690,0.290,-0.065,0.462,-0.527,0.925,0.470,-0.070,0.150,0.520,-0.630,0.110,1.260,1.390,1.600,0.350,1.250,-0.210,0.271,-0.220,0.491,-0.621,-1.065,1.661,-0.140,1.040,0.910,0.010,3348,1672,1676
1631200,Kris Murray,2026,1.650,-0.300,-0.620,-0.790,-1.030,-0.520,-2.820,-0.870,-1.080,0.170,-1.250,0.210,-0.745,-0.313,-0.432,0.675,-0.450,0.150,0.960,0.750,-0.510,-0.220,2.400,0.890,1.170,-0.090,1.260,-0.280,0.256,-0.014,0.270,0.644,-1.615,1.146,-0.940,1.790,0.860,0.010,5586,2780,2806
1628960,Grayson Allen,2026,-1.360,-0.150,2.780,-0.080,-1.420,-0.530,0.540,-0.520,-0.810,0.800,-1.610,0.290,0.978,0.372,0.606,0.862,-0.300,-0.360,0.140,0.190,0.170,0.000,-0.220,-0.060,-0.130,-0.320,0.190,0.070,0.277,0.197,0.080,-0.707,0.458,0.217,1.320,-0.490,0.830,0.000,5990,3005,2985
1631128,Christian Braun,2026,1.000,0.210,-0.530,-0.460,-0.460,1.240,1.940,-0.120,-0.360,0.930,-1.290,0.240,-0.118,-0.276,0.158,0.348,-0.130,0.170,0.030,0.280,0.100,-0.320,-0.680,0.630,0.400,-0.080,0.480,0.230,-0.375,0.122,-0.497,0.455,-0.238,0.255,0.110,0.710,0.820,-0.000,6585,3293,3292
1631159,Leonard Miller,2026,0.970,0.430,0.140,-0.180,-1.110,0.540,0.690,1.750,1.840,0.410,1.430,-0.090,0.009,0.135,-0.126,-0.659,0.000,-0.110,-0.670,0.290,0.670,-0.200,-0.600,0.390,0.400,-0.250,0.650,-0.010,-0.088,-0.066,-0.022,-0.602,1.759,0.302,1.100,-0.300,0.800,0.000,3053,1524,1529
1631170,Jaime Jaquez Jr.,2026,0.480,-0.030,-0.960,-0.270,0.480,0.870,-0.320,1.220,1.080,-0.130,1.210,0.140,0.224,0.643,-0.419,-0.364,0.260,0.190,-0.320,-0.060,0.060,0.230,-0.840,0.220,-0.010,-0.280,0.270,0.230,-0.262,-0.078,-0.184,-0.238,1.444,-0.042,1.080,-0.280,0.800,0.000,9032,4519,4513
1642434,Riley Minix,2026,0.310,0.260,-0.050,0.070,-0.270,0.000,0.140,0.830,0.720,0.150,0.570,0.110,-0.248,-0.112,-0.136,0.248,-0.040,-0.150,-0.070,0.050,0.110,0.060,0.230,-0.160,-0.070,-0.030,-0.040,-0.090,0.054,0.130,-0.076,0.056,0.582,-0.106,0.830,-0.050,0.780,0.000,251,124,127
1629060,Rui Hachimura,2026,-0.460,1.180,-0.640,0.250,1.100,1.310,1.020,2.530,2.240,-0.140,2.380,0.290,-0.494,-0.511,0.017,-1.286,-0.360,-0.330,0.330,0.510,0.030,-0.120,0.360,0.630,0.500,0.070,0.430,0.130,-0.299,0.174,-0.473,-0.311,2.036,0.331,0.750,0.020,0.770,0.000,8671,4344,4327
1642885,Mohamed Diawara,2026,-0.220,0.020,0.690,-0.090,-0.470,0.580,0.720,1.200,1.650,-0.190,1.840,-0.450,-0.204,-0.040,-0.164,-1.406,-0.400,0.250,0.110,0.030,0.290,0.190,0.360,0.950,0.930,0.050,0.880,0.020,0.158,0.043,0.115,0.062,0.996,1.108,-0.410,1.170,0.750,-0.010,2804,1399,1405
1629656,Quentin Grimes,2026,1.080,-0.310,-0.290,-0.700,-0.790,-0.120,-1.690,0.480,-0.120,0.660,-0.780,0.600,0.329,0.253,0.076,-0.779,-0.340,0.420,-0.420,0.240,0.760,0.340,1.010,0.210,0.480,-0.130,0.610,-0.270,-0.106,-0.322,0.216,0.606,0.809,0.104,0.030,0.710,0.740,0.000,9640,4817,4823
1630568,Luka Garza,2026,-0.660,0.050,1.240,0.030,-0.580,-0.220,0.630,-0.570,-0.390,0.090,-0.480,-0.180,0.128,0.350,-0.222,2.002,0.280,-0.290,-0.750,-0.130,0.470,-0.200,-1.600,-0.940,-1.010,-0.270,-0.740,0.070,-0.155,-0.137,-0.018,0.245,-0.442,-1.095,1.560,-0.850,0.710,0.000,4595,2305,2290
1630619,Moussa Cisse,2026,0.340,-1.010,-0.440,0.330,0.100,-0.130,-0.600,-0.730,-0.530,0.080,-0.610,-0.200,0.302,0.273,0.029,0.528,-0.240,-0.030,0.120,0.300,0.120,0.090,0.180,1.130,1.340,-0.060,1.400,-0.210,-0.061,0.209,-0.270,-0.459,-0.428,1.069,0.100,0.610,0.700,-0.010,2216,1109,1107
1642400,Enaruna,2026,0.340,0.200,0.070,-0.060,-0.420,0.140,0.470,0.140,0.230,0.050,0.180,-0.090,-0.567,-0.386,-0.181,0.987,0.110,-0.110,-0.300,0.010,0.200,-0.020,-0.040,-0.120,-0.110,-0.020,-0.090,-0.010,0.122,0.100,0.022,0.138,-0.427,0.002,0.560,0.140,0.700,-0.000,341,169,172
1642866,Joan Beringer,2026,0.740,0.240,-0.820,0.230,0.080,-0.320,-0.280,0.510,0.460,-0.010,0.470,0.050,0.017,-0.094,0.111,0.673,-0.650,0.280,0.340,0.030,0.310,-0.260,-0.520,-0.200,-0.220,-0.210,-0.010,0.020,0.003,0.038,-0.035,-0.323,0.527,-0.197,1.200,-0.520,0.680,-0.000,1348,669,679
1641739,Toumani Camara,2026,1.250,-0.590,1.800,0.390,-3.060,-1.170,1.060,0.820,1.120,0.280,0.840,-0.300,-0.483,-0.506,0.023,-0.557,0.300,-0.120,0.000,-0.070,-0.300,0.090,0.230,0.240,0.130,-0.050,0.180,0.110,0.358,0.063,0.295,0.302,0.337,0.598,-0.220,0.900,0.680,0.000,12042,6009,6033
1630529,Herbert Jones,2026,1.450,-0.180,-0.030,0.150,-1.410,-0.570,-1.080,0.790,0.910,-0.020,0.930,-0.120,0.023,0.083,-0.060,-1.123,-0.220,-0.140,-0.100,0.080,0.320,-0.220,1.060,0.370,0.350,-0.130,0.480,0.020,0.633,0.220,0.413,-0.023,0.813,1.003,-0.310,0.980,0.670,0.000,6544,3285,3259
1642357,David Jones Garcia,2026,0.380,0.120,-0.120,0.000,-0.270,0.120,0.480,0.550,0.510,0.040,0.470,0.040,-0.150,-0.138,-0.012,0.350,-0.310,-0.050,0.140,-0.030,0.160,-0.060,0.100,-0.550,-0.420,-0.030,-0.390,-0.130,0.241,0.153,0.088,0.219,0.400,-0.309,0.750,-0.090,0.660,0.000,293,149,144
1627749,Dejounte Murray,2026,0.740,0.650,-0.660,0.080,-0.080,-0.280,0.450,1.100,1.090,0.130,0.960,0.010,-0.394,-0.098,-0.296,-0.146,-0.370,-0.390,0.150,0.030,0.220,0.230,-0.060,0.010,0.150,-0.110,0.260,-0.140,0.350,0.109,0.241,-0.260,0.706,0.360,0.560,0.100,0.660,0.000,1602,805,797
1642419,Jamison Battle,2026,0.800,0.210,-0.680,0.030,-0.120,0.310,0.860,0.980,1.100,0.100,1.000,-0.120,0.124,0.044,0.080,-0.704,-0.040,0.260,0.230,0.070,-0.180,0.120,0.560,0.500,0.660,0.130,0.530,-0.160,-0.038,-0.387,0.349,-0.252,1.104,0.462,0.400,0.210,0.620,0.010,2387,1200,1187
1631288,Jamal Cain,2026,-1.020,-0.270,-0.220,0.110,1.240,-0.560,0.100,-0.650,-0.680,-0.390,-0.290,0.030,-0.173,-0.242,0.069,1.673,-0.120,-0.370,-0.030,0.100,0.150,-0.040,0.430,-0.020,-0.030,-0.130,0.100,0.010,-0.169,-0.395,0.226,-0.061,-0.823,-0.189,0.850,-0.250,0.600,-0.000,2432,1211,1221
