player_id,player_name,possessions,off_poss,def_poss,oTS,dTS,net_ts,oSQ,oFT,oCONTEST,dSQ,dFT,dCONTEST,oRESID,dRESID
1631159,Leonard Miller,3464,1709,1755,0.67,0.12,0.55,0.23,-0.1,0.4,0.02,0.06,-0.32,0.14,0.36
1629684,Grant Williams,13396,6690,6706,0.94,0.4,0.54,-0.42,0.04,1.17,-0.11,0.14,0.23,0.15,0.14
1642364,Jamir Watkins,4250,2091,2159,0.64,0.11,0.53,-0.06,0.21,0.55,-0.15,0.25,0.01,-0.06,0.0
203915,Spencer Dinwiddie,18036,8862,9174,0.59,0.08,0.51,-0.22,0.26,0.65,-0.2,-0.17,0.6,-0.1,-0.15
202696,Nikola Vucevic,27628,13665,13963,0.51,0.02,0.49,0.5,-0.73,0.67,0.34,-0.89,0.53,0.07,0.04
1643018,LJ Cryer,1125,563,562,0.35,-0.12,0.48,-0.04,-0.11,0.45,0.05,-0.02,-0.18,0.05,0.03
1629622,Max Strus,18298,9150,9148,-0.3,-0.76,0.47,0.27,-0.04,-0.69,-0.21,-0.17,-0.46,0.16,0.08
1629645,Kevin Porter Jr.,11784,5769,6015,-0.92,-1.39,0.47,-0.26,0.19,-0.71,-0.42,0.07,-0.9,-0.14,-0.14
1628436,Luke Kornet,16703,8454,8249,-1.33,-1.8,0.47,0.28,-0.5,-1.1,-1.54,-0.72,0.42,-0.01,0.04
1641709,Ausar Thompson,20230,10188,10042,-1.22,-1.68,0.46,-0.08,-0.53,-0.58,-0.44,0.11,-1.27,-0.03,-0.08
1631214,Alondes Williams,479,233,246,0.59,0.13,0.46,-0.02,0.08,0.53,0.13,0.15,-0.1,-0.0,-0.05
1629626,Bol Bol,3795,1841,1954,-0.19,-0.65,0.46,0.06,-0.43,0.24,0.41,-0.12,-0.97,-0.06,0.03
203496,Robert Covington,1953,981,972,-0.07,-0.54,0.46,0.02,0.09,-0.22,0.03,0.13,-0.71,0.04,0.01
1630540,Miles McBride,18832,9579,9253,-1.04,-1.49,0.45,0.06,-0.12,-0.91,-0.44,0.3,-1.33,-0.07,-0.02
1629636,Darius Garland,24948,12444,12504,1.63,1.18,0.44,0.93,-0.21,0.97,0.4,0.08,0.73,-0.06,-0.03
1630611,Gui Santos,9733,4957,4776,-0.06,-0.48,0.42,-0.19,-0.14,0.08,-0.19,0.23,-0.43,0.19,-0.09
1642396,Blake Hinson,1087,548,539,-0.13,-0.55,0.42,-0.0,-0.12,0.23,0.01,0.22,-0.86,-0.24,0.08
1631099,Keegan Murray,24421,12330,12091,-0.91,-1.29,0.38,0.02,-0.2,-0.59,-0.0,-0.09,-1.14,-0.14,-0.06
1642349,Ajay Mitchell,8624,4402,4222,0.25,-0.12,0.36,0.08,0.45,-0.41,-0.33,0.24,0.1,0.13,-0.13
1642264,Stephon Castle,17755,8834,8921,-0.05,-0.4,0.36,-0.06,0.02,-0.1,0.18,0.06,-0.65,0.09,0.01
