player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1629614,Andrew Nembhard,2026,-0.86,-0.56,-0.62,0.06,-0.3,0.17,0.33,-0.15,-1.04,-1.06,-1.01,0.24,-1.25,-0.05,-0.66,-0.58,-0.08,-0.27,-0.69,-1.72,-1.73,-1.99,-3.72,0.0,7418,3707,3711
1631172,Ousmane Dieng,2026,-1.18,-1.03,0.46,-1.49,-0.15,-0.34,-0.43,0.09,-0.61,-1.7,-1.88,-0.09,-1.79,0.18,-0.62,-0.08,-0.55,0.73,-1.52,-2.32,-2.13,-1.59,-3.72,0.0,4423,2210,2213
1630264,Anthony Gill,2026,-0.46,-0.32,-0.56,0.24,-0.14,-0.42,-0.42,-0.0,-0.77,-2.24,-1.89,-0.45,-1.44,-0.35,0.2,-0.05,0.24,-0.05,-0.88,-2.04,-1.65,-2.09,-3.73,0.01,3962,1973,1989
202687,Bismack Biyombo,2026,-0.42,-0.35,-0.35,-0.0,-0.07,-0.65,-0.2,-0.44,-0.69,-1.4,-1.25,-0.07,-1.18,-0.15,-0.19,-0.07,-0.12,-0.4,-1.07,-1.59,-1.76,-1.99,-3.76,-0.01,562,279,283
1642846,Ace Bailey,2026,-2.24,-1.97,0.06,-2.03,-0.27,0.54,0.23,0.3,-0.38,-0.87,-0.65,-0.58,-0.07,-0.22,-0.15,0.06,-0.21,-0.74,-1.7,-1.02,-2.08,-1.76,-3.84,0.0,8438,4224,4214
1642875,Maxime Raynaud,2026,-0.57,-0.54,-1.27,0.73,-0.03,0.42,0.1,0.33,-1.37,-1.09,-1.12,-0.51,-0.61,0.03,-1.27,-0.31,-0.95,-0.06,-0.15,-2.36,-1.52,-2.42,-3.95,-0.01,8034,4015,4019
1641738,Kobe Brown,2026,0.5,0.6,-0.0,0.6,-0.1,-1.11,-0.91,-0.19,-0.31,-2.14,-2.32,-0.21,-2.11,0.18,-0.77,-0.07,-0.7,-0.14,-0.61,-2.91,-0.92,-3.05,-3.97,0.0,3874,1937,1937
1641716,Jarace Walker,2026,-0.88,-0.95,-0.64,-0.31,0.07,-0.43,-0.27,-0.16,-1.0,-0.73,-0.6,-0.39,-0.21,-0.13,-0.45,-0.38,-0.07,-0.48,-1.31,-1.18,-2.31,-1.66,-3.97,0.0,8112,4054,4058
1629651,Nicolas Claxton,2026,-1.16,-1.1,-0.22,-0.88,-0.06,-0.16,-0.43,0.27,-1.01,-0.62,-0.62,-0.57,-0.05,-0.0,-0.63,-0.2,-0.43,-0.49,-1.32,-1.25,-2.33,-1.74,-4.07,0.0,7696,3847,3849
1630172,Patrick Williams,2026,-2.94,-2.88,-0.46,-2.42,-0.06,-0.41,-0.07,-0.34,-0.56,-0.98,-1.17,-0.61,-0.56,0.19,0.23,0.03,0.2,0.13,-3.35,-0.75,-3.91,-0.62,-4.52,0.01,6522,3254,3268
1629018,Gary Trent Jr.,2026,0.06,0.37,0.16,0.21,-0.31,-0.31,-0.28,-0.05,-1.64,-2.47,-2.15,-0.23,-1.92,-0.32,0.08,0.24,-0.15,-0.47,-0.25,-2.39,-1.89,-2.86,-4.76,-0.01,5531,2764,2767
1642267,Carlton Carrington,2026,-1.09,-0.57,-0.21,-0.36,-0.52,-0.41,-0.71,0.31,-0.68,-1.62,-1.38,-0.61,-0.77,-0.24,-0.48,-0.01,-0.45,-0.65,-1.5,-2.1,-2.18,-2.75,-4.94,-0.01,9487,4731,4756
1642268,Isaiah Collier,2026,-0.22,-0.29,-0.2,-0.09,0.07,-0.0,0.08,-0.08,-1.51,-2.61,-2.37,-0.26,-2.11,-0.24,0.29,0.2,0.09,-0.91,-0.22,-2.32,-1.73,-3.23,-4.96,0.0,6401,3199,3202
1630544,Tre Mann,2026,-2.66,-2.58,-0.36,-2.22,-0.08,-0.24,0.0,-0.24,-0.2,-1.92,-1.98,0.02,-2.0,0.06,0.06,0.01,0.05,-0.04,-2.9,-1.86,-3.1,-1.9,-5.0,0.0,2614,1309,1305
1642962,Drake Powell,2026,-1.41,-1.59,-0.49,-1.1,0.18,-0.58,0.01,-0.59,-2.41,0.2,0.11,-0.02,0.13,0.09,-0.15,-0.19,0.03,-0.83,-1.99,0.05,-4.4,-0.78,-5.18,0.0,5237,2612,2625
1641712,Rayan Rupert,2026,-3.12,-3.03,-0.5,-2.53,-0.09,-0.66,-0.2,-0.47,0.02,-0.68,-0.71,0.03,-0.74,0.03,0.38,-0.0,0.38,-1.39,-3.78,-0.3,-3.76,-1.69,-5.45,0.0,4441,2223,2218
